source_file;airgap_mm;energy_eV;energy_std_eV;sensor;chip;threshold;threshold_dac;fit_dac;fit_r2;points;status
tribeast1IC1_dual_scan_long_20260602_164544.csv;30.0;2127167.82;56023.28;Capteur 2;1;0;92;108.0000;0.936672;176;Manuel depuis fit 108.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;30.0;2127167.82;56023.28;Capteur 2;1;1;91;117.0000;0.879936;181;Manuel depuis fit 117.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;30.0;2127167.82;56023.28;Capteur 2;1;2;91;99.0000;0.935964;178;Manuel depuis fit 99.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;31.0;1966669.19;55633.82;Capteur 2;1;0;103;126.0000;0.931893;165;Manuel depuis fit 126.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;31.0;1966669.19;55633.82;Capteur 2;1;1;103;117.0000;0.933672;165;Manuel depuis fit 117.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;31.0;1966669.19;55633.82;Capteur 2;1;2;105;153.0000;0.843355;165;Manuel depuis fit 153.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;32.0;1800364.82;60969.95;Capteur 2;1;0;119;135.0000;0.949327;148;Manuel depuis fit 135.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;32.0;1800364.82;60969.95;Capteur 2;1;1;120;126.0000;0.948270;148;Manuel depuis fit 126.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;32.0;1800364.82;60969.95;Capteur 2;1;2;123;144.0000;0.928385;148;Manuel depuis fit 144.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;33.0;1619899.16;65845.74;Capteur 2;1;0;140;144.0000;0.961912;135;Manuel depuis fit 144.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;33.0;1619899.16;65845.74;Capteur 2;1;1;138;144.0000;0.957097;140;Manuel depuis fit 144.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;33.0;1619899.16;65845.74;Capteur 2;1;2;139;153.0000;0.942796;134;Manuel depuis fit 153.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;34.0;1431287.73;64278.85;Capteur 2;1;0;151;162.0000;0.970179;125;Manuel depuis fit 162.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;34.0;1431287.73;64278.85;Capteur 2;1;1;150;153.0000;0.969502;122;Manuel depuis fit 153.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;34.0;1431287.73;64278.85;Capteur 2;1;2;151;162.0000;0.942352;126;Manuel depuis fit 162.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;35.0;1229292.28;69149.41;Capteur 2;1;0;167;171.0000;0.976174;112;Manuel depuis fit 171.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;35.0;1229292.28;69149.41;Capteur 2;1;1;162;171.0000;0.969047;108;Manuel depuis fit 171.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;35.0;1229292.28;69149.41;Capteur 2;1;2;165;171.0000;0.967942;111;Manuel depuis fit 171.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;36.0;1016027.68;77020.53;Capteur 2;1;0;183;189.0000;0.968676;87;Manuel depuis fit 189.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;36.0;1016027.68;77020.53;Capteur 2;1;1;180;180.0000;0.979489;88;Auto + 143 zeros
tribeast1IC1_dual_scan_long_20260602_164544.csv;36.0;1016027.68;77020.53;Capteur 2;1;2;180;180.0000;0.965893;89;Manuel depuis fit 180.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;37.0;791146.97;79910.69;Capteur 2;1;0;198;198.0000;0.971411;75;Auto + 156 zeros
tribeast1IC1_dual_scan_long_20260602_164544.csv;37.0;791146.97;79910.69;Capteur 2;1;1;198;198.0000;0.981088;80;Auto + 151 zeros
tribeast1IC1_dual_scan_long_20260602_164544.csv;37.0;791146.97;79910.69;Capteur 2;1;2;201;207.0000;0.971127;73;Manuel depuis fit 207.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;38.0;557209.27;80381.41;Capteur 2;1;0;215;207.0000;0.970465;58;Manuel depuis fit 207.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;38.0;557209.27;80381.41;Capteur 2;1;1;214;207.0000;0.960616;63;Manuel depuis fit 207.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;38.0;557209.27;80381.41;Capteur 2;1;2;215;207.0000;0.958875;60;Manuel depuis fit 207.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;39.0;336842.21;66520.31;Capteur 2;1;0;230;216.0000;0.888394;49;Manuel depuis fit 216.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;39.0;336842.21;66520.31;Capteur 2;1;1;230;216.0000;0.903078;51;Manuel depuis fit 216.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;39.0;336842.21;66520.31;Capteur 2;1;2;230;225.0000;0.919114;51;Manuel depuis fit 225.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;40.0;165470.33;51834.72;Capteur 2;1;0;243;225.0000;0.813369;47;Manuel depuis fit 225.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;40.0;165470.33;51834.72;Capteur 2;1;1;243;225.0000;0.526796;34;Manuel depuis fit 225.00
tribeast1IC1_dual_scan_long_20260602_164544.csv;40.0;165470.33;51834.72;Capteur 2;1;2;243;225.0000;0.709855;37;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;30.0;2127167.82;56023.28;Capteur 2;2;0;97;108.0000;0.944862;231;Manuel depuis fit 108.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;30.0;2127167.82;56023.28;Capteur 2;2;1;97;108.0000;0.920722;231;Manuel depuis fit 108.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;30.0;2127167.82;56023.28;Capteur 2;2;2;95;216.0000;0.764112;231;Manuel depuis fit 216.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;31.0;1966669.19;55633.82;Capteur 2;2;0;113;126.0000;0.947283;231;Manuel depuis fit 126.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;31.0;1966669.19;55633.82;Capteur 2;2;1;113;126.0000;0.914309;231;Manuel depuis fit 126.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;31.0;1966669.19;55633.82;Capteur 2;2;2;113;198.0000;0.822388;231;Manuel depuis fit 198.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;32.0;1800364.82;60969.95;Capteur 2;2;0;126;144.0000;0.955826;231;Manuel depuis fit 144.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;32.0;1800364.82;60969.95;Capteur 2;2;1;125;135.0000;0.958737;231;Manuel depuis fit 135.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;32.0;1800364.82;60969.95;Capteur 2;2;2;125;225.0000;0.824992;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;33.0;1619899.16;65845.74;Capteur 2;2;0;143;153.0000;0.976286;231;Manuel depuis fit 153.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;33.0;1619899.16;65845.74;Capteur 2;2;1;142;144.0000;0.971643;231;Manuel depuis fit 144.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;33.0;1619899.16;65845.74;Capteur 2;2;2;140;207.0000;0.874697;231;Manuel depuis fit 207.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;34.0;1431287.73;64278.85;Capteur 2;2;0;160;171.0000;0.960362;231;Manuel depuis fit 171.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;34.0;1431287.73;64278.85;Capteur 2;2;1;157;162.0000;0.951470;231;Manuel depuis fit 162.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;34.0;1431287.73;64278.85;Capteur 2;2;2;158;225.0000;0.869708;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;35.0;1229292.28;69149.41;Capteur 2;2;0;179;180.0000;0.981094;231;Manuel depuis fit 180.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;35.0;1229292.28;69149.41;Capteur 2;2;1;177;180.0000;0.960855;231;Manuel depuis fit 180.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;35.0;1229292.28;69149.41;Capteur 2;2;2;173;216.0000;0.905289;231;Manuel depuis fit 216.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;36.0;1016027.68;77020.53;Capteur 2;2;0;198;198.0000;0.979476;231;Auto
tribeast1_IC2_dual_scan_long_20260604_173206.csv;36.0;1016027.68;77020.53;Capteur 2;2;1;198;198.0000;0.978314;231;Auto
tribeast1_IC2_dual_scan_long_20260604_173206.csv;36.0;1016027.68;77020.53;Capteur 2;2;2;195;225.0000;0.921646;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;37.0;791146.97;79910.69;Capteur 2;2;0;215;207.0000;0.972684;231;Manuel depuis fit 207.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;37.0;791146.97;79910.69;Capteur 2;2;1;215;207.0000;0.980763;231;Manuel depuis fit 207.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;37.0;791146.97;79910.69;Capteur 2;2;2;215;225.0000;0.923887;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;38.0;557209.27;80381.41;Capteur 2;2;0;230;216.0000;0.896739;231;Manuel depuis fit 216.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;38.0;557209.27;80381.41;Capteur 2;2;1;228;216.0000;0.945715;231;Manuel depuis fit 216.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;38.0;557209.27;80381.41;Capteur 2;2;2;223;225.0000;0.677045;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;39.0;336842.21;66520.31;Capteur 2;2;0;240;225.0000;0.746172;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;39.0;336842.21;66520.31;Capteur 2;2;1;238;225.0000;0.843234;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;39.0;336842.21;66520.31;Capteur 2;2;2;235;225.0000;-0.051076;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;40.0;165470.33;51834.72;Capteur 2;2;0;252;225.0000;0.765665;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;40.0;165470.33;51834.72;Capteur 2;2;1;252;225.0000;0.755213;231;Manuel depuis fit 225.00
tribeast1_IC2_dual_scan_long_20260604_173206.csv;40.0;165470.33;51834.72;Capteur 2;2;2;252;225.0000;-1.222513;231;Manuel depuis fit 225.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;30.0;2127167.82;56023.28;Capteur 2;3;0;100;117.0000;0.912747;200;Manuel depuis fit 117.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;30.0;2127167.82;56023.28;Capteur 2;3;1;96;144.0000;0.858703;194;Manuel depuis fit 144.00
