chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
1,0,255,139906.74260235153,1014115,2414786,10.011461734771729,,,
1,0,254,136251.61659972297,2414849,3778778,10.010369300842285,,,
1,0,253,123877.21580073683,3778837,5018865,10.010137796401978,,,
1,0,252,104244.03545694359,5018918,6062421,10.010193824768066,,,
1,0,251,73784.32460485109,6062467,6800996,10.009294033050537,253,1,-1.8068651851192796
1,0,250,53280.21743707882,6801060,7334391,10.009925365447998,253,2,-0.25308945575086805
1,0,249,30610.933831221046,7334445,7640875,10.010475397109985,253,2,0.31651131651275055
1,0,248,19772.814121812367,7640917,7838853,10.010512351989746,253,2,0.5207493089872608
1,0,247,13225.791207883498,7838883,7971272,10.00991153717041,253,2,0.6108831413380009
1,0,246,8067.333652657848,7971310,8052063,10.009874820709229,252,2,0.6612409519394008
1,0,245,3645.482121104899,8052080,8088572,10.010198593139648,252,2,0.699139230208843
1,0,244,10.689826795426221,8088599,8088706,10.009516716003418,252,2,0.7340145223331944
1,0,243,8.09188497167674,8108343,8108424,10.010028600692749,252,2,0.7577730221835146
1,0,242,4.295633805742111,8118311,8118354,10.010164260864258,252,2,0.775005391473392
1,0,241,3.4964158083416117,8123305,8123340,10.01025104522705,252,2,0.7880720454093842
1,0,240,2.39752222547751,8125248,8125272,10.010334730148315,252,2,0.7983219305137972
1,0,239,36.1615253393699,8126217,8126579,10.010639667510986,252,2,0.8065050682574423
1,0,238,1.5983089409858195,8126591,8126607,10.01058030128479,252,2,0.81329906820221
1,0,237,1.7981552881266403,8126776,8126794,10.010258913040161,252,2,0.8189853862679459
1,0,236,0.998892700288298,8126874,8126884,10.011085271835327,252,2,0.8238159118756119
1,0,235,0.9989925054792935,8126922,8126932,10.010085105895996,252,2,0.8279695600766881
1,0,234,0.6993177894117985,8126949,8126956,10.009755373001099,252,2,0.8315796004174485
1,0,233,1.2987879477060054,8126969,8126982,10.009332180023193,252,2,0.8347457857816791
1,0,232,0.7992062250870543,8126990,8126998,10.009932041168213,252,2,0.8375457404128822
1,0,231,0.599393590268863,8127001,8127007,10.010117053985596,252,2,0.8400394155367048
1,0,230,0.6992659073726313,8127010,8127017,10.010498046875,252,2,0.8422745781401115
1,0,229,0.8991082238859682,8127022,8127031,10.009918451309204,252,2,0.8442897179536508
1,0,228,1.098907198447055,8127037,8127048,10.009944438934326,252,2,0.846116104942054
1,0,227,0.3995526268478714,8127052,8127056,10.011196851730347,252,2,0.8477777751743273
1,0,226,0.8990537684070453,8127060,8127069,10.01052474975586,252,2,0.8492980138922577
1,0,225,0.29969763029524793,8127072,8127075,10.01008915901184,252,2,0.8506918922880635
1,0,224,0.29970351938185236,8127078,8127081,10.009892463684082,252,2,0.8519756590026206
1,0,223,0.0998965619162554,8127084,8127085,10.01035451889038,252,2,0.8531611556841247
