source_file;airgap_mm;energy_eV;energy_std_eV;sensor;chip;threshold;threshold_dac;fit_dac;fit_r2;points;;
trib7_dual_scan_long_20260902_143405.csv;30.0;2127167.82;56023.28;Capteur 2;1;0;70;70.0000;0.985066;46;;
trib7_dual_scan_long_20260902_143405.csv;30.0;2127167.82;56023.28;Capteur 2;1;1;40;220.0000;-0.143286;46;;
trib7_dual_scan_long_20260902_143405.csv;30.0;2127167.82;56023.28;Capteur 2;1;2;70;70.0000;0.980616;46;;
trib7_dual_scan_long_20260902_143405.csv;30.0;2127167.82;56023.28;Capteur 2;3;0;125;220.0000;0.807711;34;;
trib7_dual_scan_long_20260902_143405.csv;30.0;2127167.82;56023.28;Capteur 2;3;1;135;140.0000;0.982872;30;;
trib7_dual_scan_long_20260902_143405.csv;30.0;2127167.82;56023.28;Capteur 2;3;2;135;140.0000;0.986363;30;;
trib7_dual_scan_long_20260902_143405.csv;31.0;1966669.19;55633.82;Capteur 2;1;0;90;90.0000;0.974944;43;;
trib7_dual_scan_long_20260902_143405.csv;31.0;1966669.19;55633.82;Capteur 2;1;1;55;220.0000;-0.139103;45;;
trib7_dual_scan_long_20260902_143405.csv;31.0;1966669.19;55633.82;Capteur 2;1;2;95;90.0000;0.983188;40;;
trib7_dual_scan_long_20260902_143405.csv;31.0;1966669.19;55633.82;Capteur 2;3;0;140;220.0000;0.810249;29;;
trib7_dual_scan_long_20260902_143405.csv;31.0;1966669.19;55633.82;Capteur 2;3;1;150;140.0000;0.973294;29;;
trib7_dual_scan_long_20260902_143405.csv;31.0;1966669.19;55633.82;Capteur 2;3;2;150;140.0000;0.974045;28;;
trib7_dual_scan_long_20260902_143405.csv;32.0;1800364.82;60969.95;Capteur 2;1;0;115;115.0000;0.983203;37;;
trib7_dual_scan_long_20260902_143405.csv;32.0;1800364.82;60969.95;Capteur 2;1;1;70;220.0000;-0.134684;42;;
trib7_dual_scan_long_20260902_143405.csv;32.0;1800364.82;60969.95;Capteur 2;1;2;115;115.0000;0.989023;39;;
trib7_dual_scan_long_20260902_143405.csv;32.0;1800364.82;60969.95;Capteur 2;3;0;150;225.0000;0.808252;29;;
trib7_dual_scan_long_20260902_143405.csv;32.0;1800364.82;60969.95;Capteur 2;3;1;155;155.0000;0.992071;26;;
trib7_dual_scan_long_20260902_143405.csv;32.0;1800364.82;60969.95;Capteur 2;3;2;160;160.0000;0.994094;25;;
trib7_dual_scan_long_20260902_143405.csv;33.0;1619899.16;65845.74;Capteur 2;1;0;130;130.0000;0.993422;34;;
trib7_dual_scan_long_20260902_143405.csv;33.0;1619899.16;65845.74;Capteur 2;1;1;85;220.0000;-0.120486;40;;
trib7_dual_scan_long_20260902_143405.csv;33.0;1619899.16;65845.74;Capteur 2;1;2;135;120.0000;0.979245;33;;
trib7_dual_scan_long_20260902_143405.csv;33.0;1619899.16;65845.74;Capteur 2;3;0;165;210.0000;0.815979;25;;
trib7_dual_scan_long_20260902_143405.csv;33.0;1619899.16;65845.74;Capteur 2;3;1;170;170.0000;0.991040;23;;
trib7_dual_scan_long_20260902_143405.csv;33.0;1619899.16;65845.74;Capteur 2;3;2;175;170.0000;0.985150;23;;
trib7_dual_scan_long_20260902_143405.csv;34.0;1431287.73;64278.85;Capteur 2;1;0;160;160.0000;0.991919;29;;
trib7_dual_scan_long_20260902_143405.csv;34.0;1431287.73;64278.85;Capteur 2;1;1;95;215.0000;-0.253166;38;;
trib7_dual_scan_long_20260902_143405.csv;34.0;1431287.73;64278.85;Capteur 2;1;2;160;160.0000;0.993036;31;;
trib7_dual_scan_long_20260902_143405.csv;34.0;1431287.73;64278.85;Capteur 2;3;0;200;200.0000;0.630775;21;;
trib7_dual_scan_long_20260902_143405.csv;34.0;1431287.73;64278.85;Capteur 2;3;1;180;180.0000;0.986278;20;;
trib7_dual_scan_long_20260902_143405.csv;34.0;1431287.73;64278.85;Capteur 2;3;2;190;190.0000;0.989296;19;;
trib7_dual_scan_long_20260902_143405.csv;35.0;1229292.28;69149.41;Capteur 2;1;0;175;165.0000;0.957394;24;;
trib7_dual_scan_long_20260902_143405.csv;35.0;1229292.28;69149.41;Capteur 2;1;1;115;220.0000;-0.124896;33;;
trib7_dual_scan_long_20260902_143405.csv;35.0;1229292.28;69149.41;Capteur 2;1;2;180;170.0000;0.963340;23;;
trib7_dual_scan_long_20260902_143405.csv;35.0;1229292.28;69149.41;Capteur 2;3;0;210;200.0000;0.449155;18;;
trib7_dual_scan_long_20260902_143405.csv;35.0;1229292.28;69149.41;Capteur 2;3;1;200;190.0000;0.960615;16;;
trib7_dual_scan_long_20260902_143405.csv;35.0;1229292.28;69149.41;Capteur 2;3;2;210;210.0000;0.888898;17;;
trib7_dual_scan_long_20260902_143405.csv;36.0;1016027.68;77020.53;Capteur 2;1;0;200;190.0000;0.942506;19;;
trib7_dual_scan_long_20260902_143405.csv;36.0;1016027.68;77020.53;Capteur 2;1;1;130;220.0000;-0.110663;30;;
trib7_dual_scan_long_20260902_143405.csv;36.0;1016027.68;77020.53;Capteur 2;1;2;210;200.0000;0.975063;21;;
trib7_dual_scan_long_20260902_143405.csv;36.0;1016027.68;77020.53;Capteur 2;3;0;210;220.0000;0.785194;16;;
trib7_dual_scan_long_20260902_143405.csv;36.0;1016027.68;77020.53;Capteur 2;3;1;215;200.0000;0.920113;15;;
trib7_dual_scan_long_20260902_143405.csv;36.0;1016027.68;77020.53;Capteur 2;3;2;225;215.0000;0.906379;14;;
trib7_dual_scan_long_20260902_143405.csv;37.0;791146.97;79910.69;Capteur 2;1;0;228;195.0000;0.545982;13;;
trib7_dual_scan_long_20260902_143405.csv;37.0;791146.97;79910.69;Capteur 2;1;2;228;215.0000;0.914625;14;;
trib7_dual_scan_long_20260902_143405.csv;37.0;791146.97;79910.69;Capteur 2;3;0;215;210.0000;0.217052;14;;
trib7_dual_scan_long_20260902_143405.csv;37.0;791146.97;79910.69;Capteur 2;3;1;215;210.0000;0.913350;12;;
trib7_dual_scan_long_20260902_143405.csv;37.0;791146.97;79910.69;Capteur 2;3;2;215;205.0000;0.484812;10;;
trib7_dual_scan_long_20260902_143405.csv;38.0;557209.27;80381.41;Capteur 2;1;0;0;220.0000;0.654729;8;;
trib7_dual_scan_long_20260902_143405.csv;38.0;557209.27;80381.41;Capteur 2;1;2;0;208.0000;-1.248561;7;;
trib7_dual_scan_long_20260902_143405.csv;38.0;557209.27;80381.41;Capteur 2;3;0;0;220.0000;0.491333;9;;
trib7_dual_scan_long_20260902_143405.csv;38.0;557209.27;80381.41;Capteur 2;3;1;0;220.0000;0.751860;8;;
trib7_dual_scan_long_20260902_143405.csv;38.0;557209.27;80381.41;Capteur 2;3;2;0;220.0000;0.592025;6;;
trib7_dual_scan_long_20260902_143405.csv;39.0;336842.21;66520.31;Capteur 2;1;0;0;;;1;;
trib7_dual_scan_long_20260902_143405.csv;39.0;336842.21;66520.31;Capteur 2;3;0;0;225.0000;0.476139;11;;
trib7_dual_scan_long_20260902_143405.csv;39.0;336842.21;66520.31;Capteur 2;3;1;0;220.0000;0.814914;9;;
trib7_dual_scan_long_20260902_143405.csv;39.0;336842.21;66520.31;Capteur 2;3;2;0;200.0000;-1.612079;7;;
trib7_dual_scan_long_20260902_143405.csv;40.0;165470.33;51834.72;Capteur 2;1;0;0;210.0000;-0.256964;12;;
trib7_dual_scan_long_20260902_143405.csv;40.0;165470.33;51834.72;Capteur 2;3;0;0;205.0000;-1.168111;10;;
trib7_dual_scan_long_20260902_143405.csv;40.0;165470.33;51834.72;Capteur 2;3;1;0;220.0000;0.707379;9;;
trib7_dual_scan_long_20260902_143405.csv;40.0;165470.33;51834.72;Capteur 2;3;2;0;220.0000;0.712026;8;;
;;;;;;;;;;;;
