Gap;Threshold;Total Hits;Measurement Time (s);hit rate
37.0;246;2282;300;7.6066666666666665
37.0;245;2233;300;7.443333333333333
37.0;244;2244;300;7.48
37.0;243;2203;300;7.343333333333334
37.0;242;2224;300;7.413333333333333
37.0;241;2161;300;7.203333333333333
37.0;240;2239;300;7.463333333333333
37.0;239;2222;300;7.406666666666666
37.0;238;2256;300;7.52
37.0;237;2115;300;7.05
37.0;236;2200;300;7.333333333333333
37.0;235;2207;300;7.3566666666666665
37.0;234;2136;300;7.12
37.0;233;2143;300;7.1433333333333335
37.0;232;2142;300;7.14
37.0;231;2240;300;7.466666666666667
37.0;230;2190;300;7.3
37.0;229;2154;300;7.18
37.0;228;2089;300;6.963333333333333
37.0;227;1959;300;6.53
37.0;226;1984;300;6.613333333333333
37.0;225;1894;300;6.3133333333333335
37.0;224;1959;300;6.53
37.0;223;1827;300;6.09
37.0;222;1804;300;6.013333333333334
37.0;221;1727;300;5.756666666666667
37.0;220;1611;300;5.37
37.0;219;1592;300;5.306666666666667
37.0;218;1597;300;5.323333333333333
37.0;217;1424;300;4.746666666666667
37.0;216;1378;300;4.593333333333334
37.0;215;1315;300;4.383333333333334
37.0;214;1181;300;3.9366666666666665
37.0;213;1096;300;3.6533333333333333
37.0;212;1013;300;3.3766666666666665
37.0;211;899;300;2.9966666666666666
37.0;210;852;300;2.84
37.0;209;682;300;2.2733333333333334
37.0;208;629;300;2.0966666666666667
37.0;207;477;300;1.59
37.0;206;442;300;1.4733333333333334
37.0;205;313;300;1.0433333333333332
37.0;204;272;300;0.9066666666666666
37.0;203;207;300;0.69
37.0;202;202;300;0.6733333333333333
37.0;201;159;300;0.53
37.0;200;116;300;0.38666666666666666
37.0;199;114;300;0.38
37.0;198;84;300;0.28
37.0;197;62;300;0.20666666666666667
37.0;196;52;300;0.17333333333333334
37.0;195;37;300;0.12333333333333334
37.0;194;31;300;0.10333333333333333
37.0;193;19;300;0.06333333333333334
37.0;192;14;300;0.04666666666666667
37.0;191;42;300;0.14
37.0;190;27;300;0.09
37.0;189;16;300;0.05333333333333334
37.0;188;12;300;0.04
37.0;187;10;300;0.03333333333333333
37.0;186;5;300;0.016666666666666666
37.0;185;3;300;0.01
37.0;184;6;300;0.02
37.0;183;2;300;0.006666666666666667
37.0;182;3;300;0.01
37.0;181;1;300;0.0033333333333333335
37.0;180;2;300;0.006666666666666667
37.0;179;2;300;0.006666666666666667
37.0;178;2;300;0.006666666666666667
37.0;177;0;300;0.0
37.0;176;0;300;0.0
