Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
35;255;286;443;726;5,540612361;8,582137328;14,06463138;51,61884308
35;254;351;544;767;6,777799462;10,50462367;14,81074697;51,78671956
35;253;442;635;778;8,535404246;12,26240203;15,02385634;51,78430772
35;252;508;677;779;9,824518962;13,09291208;15,06555172;51,70736623
35;251;614;769;785;11,88749207;14,88840619;15,19817797;51,65092826
35;250;656;772;761;12,71879795;14,96785369;14,75458116;51,57720113
35;249;808;882;791;15,65795637;17,09197712;15,32851917;51,60315824
35;248;1003;1016;929;19,41539461;19,6670398;17,98295273;51,6600368
35;247;1114;1065;882;21,5652825;20,6167198;17,07412851;51,65710211
35;246;1216;1043;891;23,48319495;20,14224699;17,20684762;51,78171039
35;245;1250;1036;956;24,16836484;20,03074078;18,48396543;51,72050357
35;244;1352;1061;1323;26,1436778;20,51659922;25,58290364;51,71422362
35;243;1439;1152;14032;27,81503929;22,26749497;271,2304596;51,73460245
35;242;1534;1071;105210;29,68767935;20,72718682;2036,141293;51,67126679
35;241;1468;1041;528827;28,34792757;20,10231104;10211,9547;51,78509068
35;240;1535;1077;2372025;29,7042126;20,84132702;45901,71654;51,67617202
35;239;1435;959;6622046;27,7701547;18,55859119;128149,9943;51,67418098
35;238;1731;1196;12983375;33,48255241;23,13410322;251136,0681;51,69856763
35;237;1784;3237;16556105;34,48077217;62,56404681;319992,8725;51,73898053
35;236;1805;33820;14800646;34,92783519;654,4373331;286401,3985;51,6779809
35;235;2083;489454;7408298;40,31787337;9473,713101;143392,6167;51,66443133
35;234;4566;1878949;3218311;88,37652205;36367,71304;62291,53155;51,66530538
35;233;32613;5392814;1103912;630,1412736;104198,776;21329,54692;51,75506091
35;232;407437;12488471;314309;7862,294302;240989,4889;6065,207283;51,82164192
35;231;4612599;1049865;69769;89066,63584;20272,28979;1347,199294;51,78818035
35;230;12298572;15819916;24050;237983,1977;306122,8732;465,3788997;51,67832065
35;229;1235737;11320876;7349;23860,08424;218587,8184;141,8973123;51,7909739
35;228;2045751;5576033;885;39569,36166;107852,8454;17,11786286;51,70037913
35;227;8767449;639155;447;169567,2254;12361,60484;8,645222774;51,70485616
35;226;2905282;78058;427;56189,35766;1509,674063;8,258356924;51,70520043
35;225;915761;9304;424;17713,62134;179,9678442;8,201458077;51,69812441
35;224;232311;1147;371;4492,848546;22,18275192;7,175066228;51,7068398
35;223;49748;2645;420;962,8592895;51,1932705;8,128988132;51,66694713
35;222;10184;783;413;196,9231503;15,14049751;7,985984001;51,71560574
35;221;2496;517;412;48,23270025;9,990507223;7,961487381;51,74912429
35;220;806;444;422;15,61193058;8,600120566;8,173988466;51,6271832
35;219;447;417;410;8,638848739;8,059060233;7,923776248;51,74300575
35;218;420;405;398;8,1169574;7,827066064;7,691783441;51,74352646
35;217;434;423;412;8,391186724;8,178506876;7,965827028;51,72093225
35;216;468;448;442;9,064883148;8,677494979;8,561278528;51,62780285
35;215;398;399;391;7,698349603;7,71769219;7,562951494;51,6993928
35;214;445;443;441;8,595904911;8,557271631;8,51863835;51,76883698
35;213;452;452;442;8,747072554;8,747072554;8,55355325;51,67443132
35;212;399;400;401;7,72064094;7,739990917;7,759340895;51,67964721
35;211;404;400;396;7,811719622;7,734375863;7,657032104;51,71716595
35;210;419;416;410;8,107549035;8,049499758;7,933401204;51,68023014
35;209;444;439;443;8,571622448;8,475095169;8,552316992;51,79882836
35;208;452;446;435;8,731023561;8,615125019;8,402644357;51,76941705
35;207;423;419;421;8,172946095;8,095660553;8,134303324;51,75612259
35;206;419;413;408;8,106450287;7,990367466;7,893631783;51,68723488
35;205;434;431;428;8,391625157;8,333618531;8,275611906;51,71823001
35;204;416;408;402;8,042287868;7,887628486;7,771633949;51,72657418
35;203;426;426;419;8,243635732;8,243635732;8,108176929;51,67622805
35;202;407;407;401;7,869117044;7,869117044;7,753110404;51,72117758
35;201;447;446;438;8,644033106;8,624695225;8,469992171;51,71197224
35;200;443;443;437;8,554818231;8,554818231;8,438951618;51,78368354
35;199;372;368;362;7,196785664;7,119400872;7,003323684;51,6897428
35;198;431;435;433;8,33457912;8,411930202;8,373254661;51,71226931
35;197;432;428;423;8,350526853;8,27320716;8,176557543;51,73326278
35;196;451;449;446;8,715089635;8,676441787;8,618470016;51,74932432
35;195;415;421;416;8,023894464;8,139902577;8,043229149;51,72052073
35;194;379;378;372;7,328079009;7,308743708;7,192731903;51,71887469
35;193;400;401;402;7,73521383;7,754551865;7,773889899;51,71156335
35;192;460;459;452;8,896774467;8,877433653;8,742047954;51,70413184
35;191;419;423;415;8,1148081;8,192276435;8,037339765;51,63399982
35;190;430;429;415;8,334522955;8,315140343;8,043783782;51,59263492
35;189;428;430;412;8,281072546;8,319769147;7,97149974;51,68412638
35;188;388;388;378;7,504136544;7,504136544;7,310730963;51,7048161
35;187;434;440;422;8,389670241;8,505656465;8,157697791;51,73028111
35;186;431;433;420;8,332581117;8,371247386;8,119916633;51,72466898
35;185;423;431;402;8,184999085;8,339798122;7,778651613;51,67990804
35;184;420;421;411;8,117579867;8,136907438;7,943631727;51,7395587
35;183;449;448;434;8,683255577;8,663916478;8,393169088;51,70871639
35;182;405;405;394;7,825562164;7,825562164;7,613016032;51,75347042
35;181;436;436;417;8,435156755;8,435156755;8,067569648;51,68842888
35;180;385;389;379;7,449727408;7,527127173;7,33362776;51,67974329
35;179;402;404;378;7,777014129;7,815705742;7,312714778;51,69078946
35;178;411;408;394;7,961238343;7,903127114;7,63194138;51,62513447
35;177;396;406;377;7,660821556;7,854276646;7,293256886;51,69158387
35;176;401;405;376;7,758015455;7,835402142;7,274348656;51,68847656
35;175;388;389;354;7,499733929;7,51906314;6,84254075;51,7351687
35;174;400;401;358;7,737711014;7,757055292;6,925251358;51,69487453
35;173;401;400;365;7,763201971;7,743842365;7,066256158;51,65394402
35;172;409;416;374;7,921255476;8,056827086;7,243397428;51,63322926
35;171;407;407;361;7,861686009;7,861686009;6,973141645;51,77006555
35;170;386;390;344;7,470625477;7,548041285;6,657759492;51,66903377
35;169;355;357;307;6,872352187;6,911069664;5,943132736;51,65625834
35;168;388;392;328;7,508291477;7,585696544;6,347215475;51,67620373
35;167;398;402;339;7,691867332;7,769172531;6,551615642;51,74296212
35;166;377;380;328;7,30418158;7,362305041;6,35483172;51,61426997
35;165;366;371;307;7,088586395;7,185425006;5,945890774;51,63229728
35;164;367;368;290;7,109290021;7,128661383;5,617695112;51,62259507
35;163;381;391;305;7,380747925;7,574468343;5,908472748;51,62078476
35;162;343;360;266;6,643272988;6,972531416;5,151925991;51,63117647
35;161;331;357;243;6,393710398;6,895935384;4,693871984;51,76962662
35;160;310;321;223;6,000149146;6,213057664;4,316236321;51,66538239
35;159;308;329;221;5,954861129;6,360874388;4,2728062;51,72244883
35;158;291;312;192;5,627504952;6,033613557;3,712992958;51,71030545
35;157;277;289;183;5,356667017;5,588724794;3,538881098;51,71125984
35;156;294;312;183;5,688646998;6,036931509;3,540892519;51,681885
35;155;240;263;139;4,641473326;5,086281186;2,688186635;51,70771933
35;154;244;281;159;4,723795016;5,440108194;3,078210687;51,65338445
35;153;214;238;123;4,145669868;4,610604807;2,38279156;51,62012577
35;152;199;231;116;3,845064395;4,463366207;2,241344069;51,75465989
35;151;167;197;81;3,23287211;3,813627579;1,568039766;51,6568532
35;150;155;191;76;2,992694712;3,687772194;1,467385794;51,79278708
35;149;129;150;78;2,499963445;2,906934239;1,511605804;51,6007545
35;148;119;149;54;2,302163818;2,882541252;1,04467938;51,6905005
35;147;114;141;44;2,203081451;2,7248639;0,850312139;51,7457037
35;146;94;118;34;1,818067281;2,282254671;0,657598804;51,70325708
35;145;90;105;38;1,740667799;2,030779099;0,734948626;51,7042942
