Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
37.5;255;151832;6260386;704;1493.6838236560689;61588.053230168356;6.925769349372151;101.64935684204102
37.5;254;5084124;1129640;699;49992.710175788256;11107.865410634644;6.873338339677788;101.69730710983276
37.5;253;1505297;203321;662;14791.841332089949;1997.9392581542781;6.505160750233041;101.76535606384277
37.5;252;362120;26596;697;3562.163074043873;261.62401722432026;6.856367123076824;101.65733361244202
37.5;251;45857;3026;645;450.84791231282736;29.750436850614204;6.341385250709241;101.71279215812683
37.5;250;10131;1322;668;99.55038087429534;12.99038629116755;6.563977339258641;101.76756644248962
37.5;249;3190;1039;689;31.365556126110146;10.215928782140578;6.774566824730374;101.70391964912415
37.5;248;1419;899;664;13.939909592629775;8.831556535429295;6.522973903809846;101.7940604686737
37.5;247;1036;884;671;10.181707458814024;8.6878662100305;6.59452288114306;101.75110650062561
37.5;246;869;757;639;8.543189252825247;7.442110776051452;6.282045952307632;101.71845364570618
37.5;245;890;804;706;8.757453193462716;7.911227379262948;6.946923544477166;101.62771987915039
37.5;244;760;715;632;7.467711477017487;7.02554435008882;6.209991649309279;101.77147340774536
37.5;243;716;698;643;7.038969859454436;6.862012516618989;6.321309524621792;101.71942973136902
37.5;242;716;699;635;7.043143772152258;6.8759182915285315;6.246363540945089;101.65914869308472
37.5;241;738;731;648;7.257621746859656;7.188782516198385;6.3725459240718925;101.68620324134827
37.5;240;717;713;632;7.0480301923045285;7.008710637535745;6.212489653467869;101.73055171966553
37.5;239;745;741;659;7.318408225540744;7.279114758557975;6.473598685411209;101.79809284210205
37.5;238;676;673;589;6.648258576835397;6.61875447072518;5.792639499639125;101.68076229095459
37.5;237;686;688;591;6.7384788008038745;6.75812451159339;5.80530753830188;101.80339217185974
37.5;236;701;696;594;6.890940086108934;6.8417893009013095;5.839113282665773;101.72777462005615
37.5;235;650;645;512;6.39195840423135;6.342789493429571;5.034896466102233;101.69027376174927
37.5;234;740;734;585;7.278140654025546;7.21912870277669;5.753665246763438;101.67431974411011
37.5;233;720;720;575;7.080860744489745;7.080860744489745;5.654854066780005;101.6825532913208
37.5;232;737;729;556;7.244993111788457;7.166350038661852;5.465693582299026;101.72542452812195
37.5;231;681;675;539;6.693158481754255;6.634187922443644;5.297521911403147;101.74568581581116
37.5;230;680;674;512;6.683702946619027;6.624729097090036;5.032435159807267;101.74000930786133
37.5;229;679;671;494;6.671795768861301;6.593188454942465;4.854001634488193;101.77170038223267
37.5;228;691;680;479;6.7895020660390255;6.6814202675926735;4.706471041436604;101.77476835250854
37.5;227;686;675;449;6.749071109563723;6.64084985270483;4.417394939058472;101.64361715316772
37.5;226;703;690;454;6.909859870458007;6.782081522924644;4.462413060011287;101.73867678642273
37.5;225;644;633;401;6.334574672729882;6.2263754158975395;3.944354726342675;101.66428422927856
37.5;224;690;683;401;6.7825072545650364;6.713699209953507;3.941717984174753;101.7322907447815
37.5;223;645;644;362;6.343444763719254;6.333609965635969;3.560196906149411;101.67976927757263
37.5;222;601;598;342;5.908051646551687;5.87856054016291;3.361986128320594;101.72558331489563
37.5;221;633;626;324;6.220479197341982;6.151690327861107;3.183941958829071;101.76064896583557
37.5;220;637;635;287;6.261697753266677;6.2420377917179595;2.8212044822410305;101.72959876060486
37.5;219;619;611;280;6.085431371299302;6.006782823689618;2.752699166338941;101.71834373474121
37.5;218;602;588;243;5.924624234840366;5.78684227589059;2.391501144628254;101.60981965065002
