Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
35.0;255;1701341;6736275;881;16715.76176132337;66184.24411023926;8.655869759046475;101.7806441783905
35.0;254;5847946;1167751;830;57496.73935652083;11481.274772427201;8.160522286955505;101.70917630195618
35.0;253;1836419;221979;871;18058.15720387173;2182.7979769095414;8.564850899806785;101.6947066783905
35.0;252;441140;29201;850;4338.309672683911;287.1718292425146;8.359167660564276;101.68476510047913
35.0;251;54237;2992;895;532.5679877949412;29.379269124075154;8.788250623678898;101.84051847457886
35.0;250;11195;1125;800;110.142506031665;11.068362598090498;7.870835625308799;101.64105033874512
35.0;249;3421;899;823;33.635847544400804;8.839119246540871;8.091874460403934;101.70696592330933
35.0;248;1367;863;838;13.448536201627045;8.49018781419469;8.244237993389513;101.6467502117157
35.0;247;961;910;886;9.453965671995388;8.952246369943603;8.716143168978057;101.65046429634094
35.0;246;867;849;838;8.521020371492389;8.344113374160369;8.236003542457466;101.7483777999878
35.0;245;857;850;839;8.422936685874026;8.354137903142266;8.246025530278073;101.74598622322083
35.0;244;786;785;782;7.724709674652475;7.714881799748337;7.685398175035923;101.75139689445496
35.0;243;889;887;874;8.739544764078122;8.7198832460487;8.592083378857456;101.72154545783997
35.0;242;876;875;857;8.613010934608905;8.603178730345652;8.426199053607114;101.70659327507019
35.0;241;854;850;840;8.40029637303626;8.360950722577075;8.262586596429108;101.66307973861694
35.0;240;848;849;845;8.339996833550558;8.349831735476915;8.310492127771488;101.67869567871094
35.0;239;865;871;867;8.507506970030041;8.566518579070712;8.527177506376932;101.67490935325623
35.0;238;903;899;891;8.871755305338967;8.832456278515759;8.753858224869346;101.78369092941284
35.0;237;823;821;828;8.084950918181017;8.065303406836712;8.134069696541776;101.79406261444092
35.0;236;905;909;895;8.903022098422948;8.94237247233863;8.804646163633743;101.65087652206421
35.0;235;839;840;831;8.252273962159116;8.262109807167649;8.173587202090852;101.6689465045929
