Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
36.5;255;2534449;9094982;727;24900.694889921135;89357.24167711589;7.142698545116774;101.78225994110107
36.5;254;6765640;1968067;748;66563.93004226097;19362.879802425552;7.359218000309092;101.6412341594696
36.5;253;2100134;419929;778;20630.911049276103;4125.221460159906;7.642773649841775;101.79550457000732
36.5;252;495624;58855;787;4866.3454026892005;577.8750800511534;7.727256613716044;101.84727120399475
36.5;251;57181;5295;850;562.0280006178044;52.044180117019195;8.354589820484668;101.74048256874084
36.5;250;12630;1447;645;124.17813686510492;14.226901349470056;6.341638818526736;101.70872521400452
36.5;249;3652;980;790;35.88201886060198;9.6288002418921;7.761992031729345;101.77799677848816
36.5;248;1303;777;713;12.81203391913998;7.640023296371269;7.010729228201693;101.70126056671143
36.5;247;874;817;782;8.596811401534197;8.036149788390663;7.691883885583229;101.66560125350952
36.5;246;812;796;769;7.979249562038277;7.822022969682843;7.556703095083048;101.76395583152771
36.5;245;794;785;762;7.80578234054712;7.717303699407418;7.491191616494843;101.71946454048157
36.5;244;799;799;785;7.8556636718964254;7.8556636718964254;7.718017499923271;101.71005702018738
36.5;243;788;794;778;7.749302810785939;7.8083076545228876;7.650961404557691;101.68656706809998
36.5;242;758;756;740;7.453996321855797;7.434328785386521;7.276988493632309;101.69041776657104
36.5;241;719;720;713;7.072487286650573;7.082323847549948;7.013467921254323;101.66154718399048
36.5;240;739;735;726;7.265031734896215;7.2257081531105785;7.1372300940928985;101.7201337814331
36.5;239;761;763;748;7.477004445573538;7.4966549171781995;7.349276380143242;101.77872776985168
36.5;238;750;745;737;7.36512018204218;7.316019380828565;7.237458098886782;101.83133220672607
36.5;237;738;740;720;7.253765490603303;7.273423391661849;7.076844381076394;101.7402617931366
36.5;236;761;753;735;7.485975233482337;7.407279041803154;7.23021261052499;101.65676164627075
36.5;235;790;784;771;7.765993970059292;7.707011737375298;7.57921689989331;101.72554898262024
36.5;234;777;775;760;7.63446962720639;7.614818482734816;7.467434899198013;101.77524280548096
36.5;233;708;711;684;6.960111019683383;6.989603015529499;6.724175052914455;101.72251534461975
36.5;232;757;755;743;7.44043471760642;7.420777030109441;7.3028309051275695;101.74136710166931
36.5;231;706;707;692;6.943071686138256;6.952906065297092;6.805390377914551;101.68410062789917
36.5;230;776;777;760;7.62765458161529;7.637484033395722;7.470383353128377;101.73507356643677
36.5;229;743;744;728;7.2966109021261545;7.306431374403578;7.149303817964792;101.82809662818909
36.5;228;731;728;707;7.184789366656115;7.155303226984476;6.948900249283;101.74271821975708
36.5;227;743;740;725;7.308937651963718;7.2794264635977814;7.131870521768096;101.65636038780212
36.5;226;714;712;700;7.016119137321926;6.9964661425395125;6.878548173845026;101.76566076278687
36.5;225;785;786;771;7.719120099796606;7.728953373809086;7.581454263621889;101.69552874565125
36.5;224;765;760;736;7.524236920918796;7.475058901827823;7.239004410191155;101.67143964767456
36.5;223;786;790;765;7.7326596092270306;7.7720115665258955;7.526061833407987;101.64678645133972
36.5;222;765;769;747;7.522432909807488;7.56176589234243;7.345434488400254;101.69582223892212
36.5;221;774;771;746;7.605235368668275;7.575757712200569;7.330110574969681;101.77199816703796
36.5;220;772;771;741;7.586872110089181;7.577044555542433;7.282217919140004;101.75471377372742
36.5;219;747;739;716;7.345098197903242;7.266435834338013;7.040281539087981;101.7004783153534
36.5;218;750;750;723;7.371728340751626;7.371728340751626;7.1063461204845675;101.74004864692688
36.5;217;697;698;669;6.8532892152369;6.863121767912993;6.5779777403062925;101.70298933982849
36.5;216;775;773;744;7.576065970267601;7.556514832279814;7.273023331456898;102.2958357334137
36.5;215;727;725;686;7.145211938791042;7.12555523469533;6.742249504828961;101.74645709991455
36.5;214;703;702;656;6.912463965218557;6.902631157302173;6.450321993148469;101.7003493309021
36.5;213;710;711;668;6.976088205899059;6.985913682245396;6.563418199352918;101.7762360572815
36.5;212;749;744;692;7.366760120377689;7.317582816503339;6.806138856210095;101.67291831970215
36.5;211;737;738;674;7.239897171325193;7.249720641028484;6.621018580017884;101.79702591896057
36.5;210;716;720;670;7.042026846490782;7.081367778594083;6.589606127302827;101.67527270317078
36.5;209;747;743;682;7.339833790097549;7.300530797914965;6.701160167130561;101.77342176437378
36.5;208;766;765;684;7.528102009954165;7.5182742005416925;6.722221638131396;101.75207495689392
36.5;207;727;717;634;7.143147441305323;7.044892318316253;6.22937479750698;101.77586364746094
36.5;206;703;701;622;6.908788458674725;6.889133299475081;6.112754511089159;101.75445437431335
36.5;205;687;681;592;6.748975661726558;6.69003264284685;5.815711196131183;101.79322528839111
36.5;204;678;677;559;6.661728128630533;6.651902570918688;5.492486760921044;101.77539324760437
36.5;203;723;724;580;7.108655936820803;7.118488102708522;5.702656214876993;101.7069902420044
36.5;202;737;732;603;7.241693281156412;7.192563747362949;5.92502177549161;101.77177786827087
36.5;201;751;744;606;7.376745272962806;7.307987327675536;5.952473549155074;101.80641627311707
36.5;200;702;696;546;6.901097104457934;6.842113368522396;5.367519970133949;101.72295641899109
36.5;199;688;683;509;6.763507780316064;6.714354380749813;5.003816075844297;101.72236394882202
36.5;198;651;639;481;6.4024824663552655;6.2844643563763665;4.7305592416541975;101.67931008338928
36.5;197;646;635;464;6.354739550853952;6.246531911443126;4.564394971511198;101.6564085483551
36.5;196;692;676;500;6.800221945559011;6.642991380343774;4.913455162976164;101.7613844871521
36.5;195;638;625;428;6.2716576694069355;6.143865271754443;4.207318938097442;101.7274911403656
36.5;194;638;626;411;6.274970796040964;6.156946266961824;4.042340120960558;101.67377996444702
36.5;193;603;584;357;5.928785328767728;5.741974514096771;3.510076886185869;101.7071738243103
36.5;192;590;577;335;5.798423965820519;5.670662081827864;3.2923254721184305;101.75178694725037
36.5;191;624;666;382;6.13783815709538;6.550961879207568;3.757458615401338;101.66445970535278
36.5;190;552;585;318;5.426209730259801;5.750602703264462;3.1259686489540157;101.72846746444702
36.5;189;515;542;270;5.061913496382479;5.327295369008357;2.6538187262587756;101.7401819229126
36.5;188;523;559;276;5.139444286222903;5.493211005733467;2.7122115162476508;101.76197481155396
