Gap;Threshold;C0 Hits;C1 Hits;C2 Hits;C0 Rate;C1 Rate;C2 Rate;Measurement Time (s)
33,5;255;836;844;9474736;8,186500326;8,264840042;92781,01598;102,1193388
33,5;254;832;847;3391312;8,126681008;8,273195689;33125,1332;102,3788185
33,5;253;810;820;856169;7,902156054;7,999713536;8352,569193;102,5036705
33,5;252;886;891;202371;8,629469887;8,678168927;1971,054685;102,6714284
33,5;251;891;893;54284;8,699394503;8,718921764;530,0089015;102,4209213
33,5;250;834;837;11092;8,153418061;8,182746903;108,438505;102,2883892
33,5;249;834;848;2176;8,133581124;8,270116059;21,22142989;102,5378597
33,5;248;833;846;1066;8,150650911;8,277851946;10,43048484;102,2004266
33,5;247;833;845;953;7,97679656;8,091708395;9,125914912;104,4278858
33,5;246;840;851;877;8,208920094;8,316417858;8,57050348;102,3277106
33,5;245;839;846;857;8,197055705;8,265445919;8,372916256;102,3538244
33,5;244;809;815;826;7,887876108;7,946377044;8,053628758;102,5624628
33,5;243;880;886;897;8,60558941;8,664263883;8,77183375;102,25912
33,5;242;839;848;856;8,191461509;8,279331775;8,357438679;102,4237249
33,5;241;839;843;850;8,206466446;8,245591435;8,314060165;102,2364504
33,5;240;808;816;828;7,896912141;7,97509939;8,092380263;102,3184741
33,5;239;857;856;865;8,371416802;8,361648521;8,44956305;102,3721576
33,5;238;795;800;811;7,764824596;7,813659971;7,921097795;102,3847983
33,5;237;845;851;858;8,256536347;8,31516264;8,383559983;102,3431575
33,5;236;810;816;829;7,895664197;7,954150598;8,080871135;102,5879495
33,5;235;806;818;832;7,821341094;7,93778786;8,073642419;103,0513809
33,5;234;843;845;851;8,237514877;8,25705821;8,315688209;102,3366892
33,5;233;777;783;786;7,604004414;7,662722595;7,692081685;102,1830022
33,5;232;881;893;900;8,589687934;8,706687089;8,774936596;102,5648437
33,5;231;813;815;832;7,93730079;7,956826745;8,122797364;102,4277675
33,5;230;841;851;859;8,19780751;8,295284413;8,373265935;102,5884054
33,5;229;857;860;875;8,378503896;8,407833548;8,554481807;102,2855644
33,5;228;802;814;818;7,847471512;7,964890038;8,004029547;102,1985233
33,5;227;770;780;794;7,529467358;7,627252648;7,764152055;102,2648699
33,5;226;811;816;834;7,901391464;7,950105345;8,125475316;102,6401494
33,5;225;803;820;827;7,850532466;8,016733028;8,085168554;102,2860556
33,5;224;843;852;862;8,245463045;8,333492899;8,431303849;102,2380424
33,5;223;876;885;891;8,39244628;8,478670043;8,536152551;104,3795779
33,5;222;775;795;813;7,566682353;7,761951575;7,937693875;102,4226952
33,5;221;792;819;830;7,73565624;7,999371793;8,106811463;102,3830397
33,5;220;809;833;849;7,909353171;8,143994056;8,300421313;102,2839646
33,5;219;770;792;817;7,520564256;7,73543752;7,979611685;102,3859346
33,5;218;774;792;809;7,55671968;7,732457347;7,89843181;102,4253953
33,5;217;816;843;858;7,811596427;8,070068367;8,21366389;104,4600816
33,5;216;765;789;801;7,470953636;7,705336495;7,822527925;102,3965664
33,5;215;765;793;810;7,481770823;7,755613415;7,921874989;102,2485209
33,5;214;762;796;814;7,451606659;7,784093046;7,96011525;102,2598259
33,5;213;729;760;783;7,122226896;7,425092512;7,649799259;102,3556271
33,5;212;774;818;835;7,550483653;7,979710114;8,14554761;102,5099895
33,5;211;765;805;831;7,46507526;7,855405993;8,109120969;102,4771986
33,5;210;767;822;839;7,504291384;8,042408759;8,208735947;102,2081847
33,5;209;737;794;819;7,164278543;7,718367929;7,961389589;102,8714888
33,5;208;727;794;817;7,11100982;7,766357354;7,991327404;102,2358313
33,5;207;680;753;792;6,649807294;7,363683665;7,745069672;102,2586024
33,5;206;721;787;836;7,045086824;7,689990749;8,168783058;102,3408253
33,5;205;708;786;824;6,781947446;7,529111148;7,893113977;104,394793
33,5;204;656;747;788;6,415369418;7,305306334;7,706266923;102,2544389
33,5;203;684;793;839;6,645512188;7,704519247;8,151439658;102,9266038
33,5;202;618;716;772;6,042668612;7,000891143;7,548446874;102,2726943
33,5;201;669;760;825;6,540187681;7,429809623;8,065253867;102,2906425
33,5;200;630;759;803;6,159543251;7,42078306;7,850973382;102,2803111
33,5;199;612;749;819;5,974880375;7,312394446;7,995795797;102,428829
33,5;198;584;730;808;5,707545725;7,134432156;7,896741346;102,3206871
33,5;197;552;674;747;5,387973414;6,578793626;7,291333588;102,4503942
33,5;196;501;686;774;4,879367771;6,681130321;7,538184939;102,6772368
33,5;195;528;713;822;5,160212263;6,968241181;8,033512274;102,3213723
33,5;194;477;644;758;4,660231286;6,29180073;7,405566698;102,3554349
33,5;193;456;642;755;4,453500866;6,27006043;7,373669197;102,3913577
33,5;192;452;653;795;4,329936888;6,255417672;7,615707579;104,3895123
33,5;191;547;672;788;5,3496698;6,57217204;7,706654118;102,2493014
33,5;190;548;683;830;5,35310546;6,671844944;8,107805715;102,3704846
33,5;189;511;647;791;4,999129315;6,329621657;7,738378255;102,2177999
33,5;188;483;597;785;4,709991895;5,821667001;7,654955771;102,5479472
33,5;187;445;574;753;4,321386869;5,574103512;7,312369242;102,9762003
33,5;186;410;542;724;4,003185369;5,292015781;7,06903953;102,4184399
33,5;185;395;512;713;3,863525325;5,007911308;6,973907739;102,2382324
33,5;184;401;516;760;3,91489834;5,037624797;7,419757452;102,4292243
33,5;183;361;516;733;3,520211765;5,031660029;7,1476876;102,5506487
33,5;182;319;466;732;3,054421856;4,461945408;7,008892786;104,4387498
33,5;181;290;436;671;2,831819252;4,257493771;6,552243855;102,407666
33,5;180;258;383;645;2,52026173;3,74131877;6,300654325;102,3703201
33,5;179;230;369;629;2,203236325;3,534757409;6,025372385;104,3918881
33,5;178;180;309;599;1,757995364;3,017892042;5,850217906;102,3893485
33,5;177;206;351;629;2,008959558;3,423033033;6,134153213;102,5406406
33,5;176;151;259;517;1,477760158;2,534701198;5,059615904;102,1816695
33,5;175;146;240;539;1,428114227;2,34758503;5,272284713;102,2327187
33,5;174;113;213;490;1,103885844;2,080775971;4,786761623;102,3656573
33,5;173;99;182;424;0,967892372;1,779357694;4,145316826;102,2840998
33,5;172;87;159;413;0,850767262;1,554850514;4,038699763;102,2606344
33,5;171;68;135;377;0,663000289;1,316250574;3,675751603;102,5640578
33,5;170;62;125;362;0,606670952;1,223126919;3,542175556;102,1970804
33,5;169;55;103;339;0,537306862;1,006229215;3,311764114;102,3623629
33,5;168;41;84;335;0,392887007;0,804939235;3,210174329;104,3557034
33,5;167;32;76;265;0,312336782;0,741799857;2,586538976;102,4535112
33,5;166;16;57;260;0,153492069;0,546815497;2,494246129;104,2399132
33,5;165;24;53;211;0,234297436;0,517406837;2,059864954;102,4338996
33,5;164;25;53;199;0,244546887;0,518439401;1,946593222;102,2298844
33,5;163;12;28;168;0,117079878;0,273186381;1,639118288;102,4941282
33,5;162;6;30;136;0,058620692;0,293103461;1,32873569;102,3529367
33,5;161;6;14;108;0,058692405;0,136948944;1,056463283;102,2278783
33,5;160;9;25;108;0,087861036;0,244058434;1,054332433;102,4344852
33,5;159;5;22;115;0,047989456;0,211153608;1,103757495;104,189553
33,5;158;4;9;83;0,039094149;0,087961835;0,811203588;102,3171017
33,5;157;3;11;60;0,029296768;0,107421484;0,585935369;102,4003725
33,5;156;0;5;48;0;0,048918851;0,469620971;102,2100863
33,5;155;1;6;32;0,009755632;0,058533794;0,312180235;102,5048878
33,5;154;1;4;34;0,009742479;0,038969915;0,331244274;102,6432838
33,5;153;0;0;22;0;0;0,214278288;102,6702249
33,5;152;0;2;20;0;0,019530939;0,195309391;102,4016302
